State,Year,rounded_time,num_fatalities_time
NSW,2002,1:00:00 PM,17
NSW,2002,2:00:00 PM,31
NSW,2002,3:00:00 PM,49
NSW,2002,4:00:00 PM,39
NSW,2002,5:00:00 PM,30
NSW,2002,6:00:00 PM,25
NSW,2002,7:00:00 PM,29
NSW,2002,8:00:00 PM,24
NSW,2002,9:00:00 PM,27
NSW,2002,10:00:00 PM,22
NSW,2002,11:00:00 PM,25
NSW,2003,12:00:00 AM,23
NSW,2003,1:00:00 AM,21
NSW,2003,2:00:00 AM,16
NSW,2003,3:00:00 AM,11
NSW,2003,4:00:00 AM,13
NSW,2003,5:00:00 AM,7
NSW,2003,6:00:00 AM,14
NSW,2003,7:00:00 AM,16
NSW,2003,8:00:00 AM,20
NSW,2003,9:00:00 AM,12
NSW,2003,10:00:00 AM,22
NSW,2003,11:00:00 AM,17
NSW,2003,12:00:00 PM,24
NSW,2003,1:00:00 PM,25
NSW,2003,2:00:00 PM,28
NSW,2003,3:00:00 PM,46
NSW,2003,4:00:00 PM,36
NSW,2003,5:00:00 PM,34
NSW,2003,6:00:00 PM,25
NSW,2003,7:00:00 PM,30
NSW,2003,8:00:00 PM,30
NSW,2003,9:00:00 PM,21
NSW,2003,10:00:00 PM,27
NSW,2003,11:00:00 PM,21
NSW,2004,12:00:00 AM,22
NSW,2004,1:00:00 AM,17
NSW,2004,2:00:00 AM,15
NSW,2004,3:00:00 AM,12
NSW,2004,4:00:00 AM,11
NSW,2004,5:00:00 AM,11
NSW,2004,6:00:00 AM,18
NSW,2004,7:00:00 AM,17
NSW,2004,8:00:00 AM,18
NSW,2004,9:00:00 AM,21
NSW,2004,10:00:00 AM,21
NSW,2004,11:00:00 AM,24
NSW,2004,12:00:00 PM,27
NSW,2004,1:00:00 PM,25
NSW,2004,2:00:00 PM,31
NSW,2004,3:00:00 PM,34
NSW,2004,4:00:00 PM,28
NSW,2004,5:00:00 PM,31
NSW,2004,6:00:00 PM,25
NSW,2004,7:00:00 PM,17
NSW,2004,8:00:00 PM,17
NSW,2004,9:00:00 PM,17
NSW,2004,10:00:00 PM,26
NSW,2004,11:00:00 PM,25
NSW,2005,12:00:00 AM,19
NSW,2005,1:00:00 AM,14
NSW,2005,2:00:00 AM,12
NSW,2005,3:00:00 AM,8
NSW,2005,4:00:00 AM,15
NSW,2005,5:00:00 AM,14
NSW,2005,6:00:00 AM,20
NSW,2005,7:00:00 AM,10
NSW,2005,8:00:00 AM,18
NSW,2005,9:00:00 AM,18
NSW,2005,10:00:00 AM,29
NSW,2005,11:00:00 AM,24
NSW,2005,12:00:00 PM,19
NSW,2005,1:00:00 PM,24
NSW,2005,2:00:00 PM,31
NSW,2005,3:00:00 PM,33
NSW,2005,4:00:00 PM,37
NSW,2005,5:00:00 PM,21
NSW,2005,6:00:00 PM,38
NSW,2005,7:00:00 PM,26
NSW,2005,8:00:00 PM,26
NSW,2005,9:00:00 PM,16
NSW,2005,10:00:00 PM,17
NSW,2005,11:00:00 PM,19
NSW,2006,12:00:00 AM,32
NSW,2006,1:00:00 AM,23
NSW,2006,2:00:00 AM,12
NSW,2006,3:00:00 AM,17
NSW,2006,4:00:00 AM,10
NSW,2006,5:00:00 AM,11
NSW,2006,6:00:00 AM,13
NSW,2006,7:00:00 AM,20
NSW,2006,8:00:00 AM,23
NSW,2006,9:00:00 AM,22
NSW,2006,10:00:00 AM,18
NSW,2006,11:00:00 AM,16
NSW,2006,12:00:00 PM,23
NSW,2006,1:00:00 PM,23
NSW,2006,2:00:00 PM,25
NSW,2006,3:00:00 PM,27
NSW,2006,4:00:00 PM,27
NSW,2006,5:00:00 PM,22
NSW,2006,6:00:00 PM,29
NSW,2006,7:00:00 PM,29
NSW,2006,8:00:00 PM,20
NSW,2006,9:00:00 PM,24
NSW,2006,10:00:00 PM,14
NSW,2006,11:00:00 PM,16
NSW,2007,12:00:00 AM,17
