State,Year,Month,Fatalities,Day,Date
NSW,2009,Jul,27,7,2009-7-1
NSW,2009,Aug,49,8,2009-8-1
NSW,2009,Sep,42,9,2009-9-1
NSW,2009,Oct,45,10,2009-10-1
NSW,2009,Nov,30,11,2009-11-1
NSW,2009,Dec,36,12,2009-12-1
NSW,2010,Jan,43,1,2010-1-1
NSW,2010,Feb,34,2,2010-2-1
NSW,2010,Mar,26,3,2010-3-1
NSW,2010,Apr,43,4,2010-4-1
NSW,2010,May,37,5,2010-5-1
NSW,2010,Jun,33,6,2010-6-1
NSW,2010,Jul,23,7,2010-7-1
NSW,2010,Aug,27,8,2010-8-1
NSW,2010,Sep,37,9,2010-9-1
NSW,2010,Oct,39,10,2010-10-1
NSW,2010,Nov,38,11,2010-11-1
NSW,2010,Dec,25,12,2010-12-1
NSW,2011,Jan,28,1,2011-1-1
NSW,2011,Feb,30,2,2011-2-1
NSW,2011,Mar,31,3,2011-3-1
NSW,2011,Apr,25,4,2011-4-1
NSW,2011,May,25,5,2011-5-1
NSW,2011,Jun,27,6,2011-6-1
NSW,2011,Jul,29,7,2011-7-1
NSW,2011,Aug,38,8,2011-8-1
NSW,2011,Sep,29,9,2011-9-1
NSW,2011,Oct,23,10,2011-10-1
NSW,2011,Nov,39,11,2011-11-1
NSW,2011,Dec,40,12,2011-12-1
NSW,2012,Jan,32,1,2012-1-1
NSW,2012,Feb,25,2,2012-2-1
NSW,2012,Mar,33,3,2012-3-1
NSW,2012,Apr,33,4,2012-4-1
NSW,2012,May,31,5,2012-5-1
NSW,2012,Jun,34,6,2012-6-1
NSW,2012,Jul,24,7,2012-7-1
NSW,2012,Aug,36,8,2012-8-1
NSW,2012,Sep,30,9,2012-9-1
NSW,2012,Oct,28,10,2012-10-1
NSW,2012,Nov,35,11,2012-11-1
NSW,2012,Dec,28,12,2012-12-1
NSW,2013,Jan,15,1,2013-1-1
NSW,2013,Feb,33,2,2013-2-1
NSW,2013,Mar,30,3,2013-3-1
NSW,2013,Apr,26,4,2013-4-1
NSW,2013,May,24,5,2013-5-1
NSW,2013,Jun,32,6,2013-6-1
NSW,2013,Jul,26,7,2013-7-1
