State,Year,Day,num_fatalities_heatmap,Time,,
NSW,1989,Wednesday,4,8,,
NSW,1989,Wednesday,10,9,,
NSW,1989,Wednesday,3,10,,
NSW,1989,Wednesday,5,11,,
NSW,1989,Wednesday,4,12,,
NSW,1989,Wednesday,4,13,,
NSW,1989,Wednesday,1,14,,
NSW,1989,Wednesday,6,15,,
NSW,1989,Wednesday,10,16,,
NSW,1989,Wednesday,8,17,,
NSW,1989,Wednesday,3,18,,
NSW,1989,Wednesday,5,19,,
NSW,1989,Wednesday,7,20,,
NSW,1989,Wednesday,9,21,,
NSW,1989,Wednesday,4,22,,
NSW,1989,Wednesday,3,23,,
NSW,1989,Thursday,3,0,,
NSW,1989,Thursday,3,1,,
NSW,1989,Thursday,6,2,,
NSW,1989,Thursday,1,3,,
NSW,1989,Thursday,3,4,,
NSW,1989,Thursday,1,5,,
NSW,1989,Thursday,8,6,,
NSW,1989,Thursday,7,7,,
NSW,1989,Thursday,4,8,,
NSW,1989,Thursday,5,9,,
NSW,1989,Thursday,5,10,,
NSW,1989,Thursday,6,11,,
NSW,1989,Thursday,8,12,,
NSW,1989,Thursday,3,13,,
NSW,1989,Thursday,3,14,,
NSW,1989,Thursday,5,15,,
NSW,1989,Thursday,7,16,,
NSW,1989,Thursday,7,17,,
NSW,1989,Thursday,6,18,,
NSW,1989,Thursday,8,19,,
NSW,1989,Thursday,8,20,,
NSW,1989,Thursday,4,21,,
NSW,1989,Thursday,9,22,,
NSW,1989,Thursday,5,23,,
NSW,1989,Friday,8,0,,
NSW,1989,Friday,7,1,,
NSW,1989,Friday,6,2,,
NSW,1989,Friday,4,3,,
NSW,1989,Friday,57,4,,
NSW,1989,Friday,3,5,,
NSW,1989,Friday,3,6,,
NSW,1989,Friday,6,7,,
NSW,1989,Friday,1,8,,
NSW,1989,Friday,3,9,,
NSW,1989,Friday,7,10,,
NSW,1989,Friday,10,11,,
NSW,1989,Friday,6,12,,
NSW,1989,Friday,10,13,,
NSW,1989,Friday,7,14,,
NSW,1989,Friday,12,15,,
NSW,1989,Friday,7,16,,
NSW,1989,Friday,5,17,,
NSW,1989,Friday,14,18,,
NSW,1989,Friday,10,19,,
NSW,1989,Friday,8,20,,
NSW,1989,Friday,13,21,,
NSW,1989,Friday,4,22,,
NSW,1989,Friday,12,23,,
NSW,1989,Saturday,7,0,,
NSW,1989,Saturday,13,1,,
NSW,1989,Saturday,2,2,,
NSW,1989,Saturday,4,3,,
NSW,1989,Saturday,11,4,,
NSW,1989,Saturday,5,5,,
NSW,1989,Saturday,7,6,,
NSW,1989,Saturday,6,7,,
NSW,1989,Saturday,8,8,,
NSW,1989,Saturday,2,9,,
NSW,1989,Saturday,4,10,,
NSW,1989,Saturday,4,11,,
NSW,1989,Saturday,4,12,,
NSW,1989,Saturday,2,13,,
NSW,1989,Saturday,8,14,,
NSW,1989,Saturday,4,15,,
NSW,1989,Saturday,12,16,,
NSW,1989,Saturday,5,17,,
NSW,1989,Saturday,6,18,,
NSW,1989,Saturday,4,19,,
NSW,1989,Saturday,6,20,,
NSW,1989,Saturday,4,21,,
NSW,1989,Saturday,3,22,,
NSW,1989,Saturday,14,23,,
NSW,1989,Sunday,2,0,,
NSW,1989,Sunday,9,1,,
NSW,1989,Sunday,15,2,,
NSW,1989,Sunday,10,3,,
NSW,1989,Sunday,8,4,,
NSW,1989,Sunday,2,5,,
NSW,1989,Sunday,3,6,,
NSW,1989,Sunday,2,8,,
NSW,1989,Sunday,2,9,,
NSW,1989,Sunday,4,10,,
NSW,1989,Sunday,2,11,,
NSW,1989,Sunday,2,12,,
NSW,1989,Sunday,5,13,,
NSW,1989,Sunday,6,14,,
NSW,1989,Sunday,17,15,,
NSW,1989,Sunday,2,16,,
NSW,1989,Sunday,8,17,,
NSW,1989,Sunday,9,18,,
NSW,1989,Sunday,9,19,,
NSW,1989,Sunday,3,20,,
NSW,1989,Sunday,4,21,,
NSW,1989,Sunday,5,22,,
NSW,1989,Sunday,3,23,,
NSW,1990,Monday,4,0,,
NSW,1990,Monday,1,3,,
NSW,1990,Monday,3,4,,
NSW,1990,Monday,3,5,,
NSW,1990,Monday,3,7,,
NSW,1990,Monday,7,8,,
NSW,1990,Monday,3,9,,
NSW,1990,Monday,8,10,,
NSW,1990,Monday,4,11,,
NSW,1990,Monday,6,12,,
NSW,1990,Monday,5,13,,
NSW,1990,Monday,5,14,,
NSW,1990,Monday,11,15,,
NSW,1990,Monday,8,16,,
NSW,1990,Monday,5,17,,
NSW,1990,Monday,5,18,,
NSW,1990,Monday,7,19,,
NSW,1990,Monday,3,20,,
NSW,1990,Monday,3,21,,
NSW,1990,Monday,3,22,,
NSW,1990,Monday,5,23,,
NSW,1990,Tuesday,2,1,,
NSW,1990,Tuesday,5,2,,
NSW,1990,Tuesday,1,3,,
NSW,1990,Tuesday,1,4,,
NSW,1990,Tuesday,2,5,,
NSW,1990,Tuesday,2,6,,
NSW,1990,Tuesday,5,7,,
NSW,1990,Tuesday,3,8,,
NSW,1990,Tuesday,3,9,,
